timestamp(ns),image_idx
1709593533304186830,0
1709593533337279112,1
1709593533369547424,2
1709593533403101347,3
1709593533435582175,4
1709593533468756637,5
1709593533502260023,6
1709593533535686973,7
1709593533568557017,8
1709593533602380545,9
1709593533635851532,10
1709593533668637613,11
1709593533702278900,12
1709593533735710217,13
1709593533769010923,14
1709593533802414080,15
1709593533835467480,16
1709593533868961139,17
1709593533903916632,18
1709593533936157024,19
1709593533968912284,20
1709593534002611870,21
1709593534036044631,22
1709593534068741536,23
1709593534101959457,24
1709593534135861363,25
1709593534168881821,26
1709593534202291377,27
1709593534235658355,28
1709593534268869878,29
1709593534302128540,30
1709593534335409685,31
1709593534368929865,32
1709593534402192651,33
1709593534435703609,34
1709593534468870342,35
1709593534504388694,36
1709593534535714450,37
1709593534568856179,38
1709593534602188148,39
1709593534635344086,40
1709593534668789273,41
1709593534702021105,42
1709593534735417427,43
1709593534768737508,44
1709593534801885549,45
1709593534835579785,46
1709593534868695734,47
1709593534902013324,48
1709593534935523916,49
1709593534968591616,50
1709593535002139008,51
1709593535036055070,52
1709593535068843805,53
1709593535102301002,54
1709593535135643588,55
1709593535169028173,56
1709593535204235683,57
1709593535236818904,58
1709593535269502313,59
1709593535302925435,60
1709593535336307455,61
1709593535369690286,62
1709593535402498009,63
1709593535435814108,64
1709593535469848963,65
1709593535502553744,66
1709593535536075328,67
1709593535569294909,68
1709593535603549758,69
1709593535635612972,70
1709593535668934498,71
1709593535702240357,72
1709593535735432824,73
1709593535768964488,74
1709593535802105142,75
1709593535835433195,76
1709593535869106757,77
1709593535902445652,78
1709593535935545996,79
1709593535969013622,80
1709593536002438223,81
1709593536035525271,82
1709593536069046316,83
1709593536102443409,84
1709593536135447909,85
1709593536169069644,86
1709593536202199583,87
1709593536235322730,88
1709593536268842487,89
1709593536302178097,90
1709593536335360007,91
1709593536368566213,92
1709593536402250329,93
1709593536435465022,94
1709593536468867385,95
1709593536502223115,96
1709593536535481585,97
1709593536568974887,98
1709593536602245804,99
1709593536635578720,100
1709593536669109833,101
1709593536702295487,102
1709593536735375462,103
1709593536768882384,104
1709593536802233736,105
1709593536835664459,106
1709593536868943852,107
1709593536901936054,108
1709593536935241520,109
1709593536968805430,110
1709593537002269934,111
1709593537035227710,112
1709593537068903574,113
1709593537101994584,114
1709593537135497076,115
1709593537169091488,116
1709593537202344762,117
1709593537235757972,118
1709593537269430040,119
1709593537302296743,120
1709593537335718440,121
1709593537368963392,122
1709593537402459567,123
1709593537435703600,124
1709593537469152158,125
1709593537502288821,126
1709593537535480913,127
1709593537569198313,128
1709593537602559446,129
1709593537635352902,130
1709593537668593743,131
1709593537702232402,132
1709593537735632647,133
1709593537768656292,134
1709593537802284580,135
1709593537835471347,136
1709593537869021569,137
1709593537902363457,138
1709593537935397236,139
1709593537968971935,140
1709593538002432595,141
1709593538039144156,142
1709593538068945514,143
1709593538102304759,144
1709593538135486473,145
1709593538168656701,146
1709593538202255246,147
1709593538235731120,148
1709593538268702027,149
1709593538302043019,150
